description,hs_code,norms,occurrence_count,total_quantity,total_cif_value,sample_licenses,current_item_names,suggested_item_name
milk & milk products,04040000,E1,5,269117.870,0.00,"0310832430, 0310832398, 0310832432, 0310832464, 0310832433",SWP,
EMULSIFIER - STARCHES,11081000,E1,5,382.010,2902.42,"0310833047, 0310833793, 0310833141, 0311002408, 0311005542","EMULSIFIER - E1, STARCH 1108, STARCH 3505",
Maize Condition : Licencee  / Transferee shall not import popcorn variety of maize.,10059000,E76,5,7605.400,0.00,"0310829543, 0310829536, 0310829539, 0310829538, 0310829541",,
RELEVANT FOOD FLAVOUR (FRUIT FLAVOUR ),08023100,E5,5,10389.450,1.01,"0310829956, 0310830107, 0310830480, 0310834927, 0310835340","FOOD FLAVOUR - E5, JUICE - E5",
relevant food flavour,08061000,E1,5,4388.450,0.00,"0310833321, 0310833303, 0310833322, 0310833305, 0310833286",FOOD FLAVOUR - E1,
rbd palm oil,15119020,E5,5,368663.550,104168.75,"0310835517, 0310763644, 0310681621, 0310729706, 0310828575","RBD PALMOLEIN OIL, VEGETABLE SHORTENING",
relevant food colour sunset yellow,32041981,E5,5,37.610,1593.27,"0310835514, 0310827361, 0311004132, 0811003880, 0811004117",FOOD COLOUR,
relevant (food flour / flavouring agent/ flavour imp-rovers),13000000,E5,5,24849.310,442.48,"0310736634, 0310736635, 0310736838, 0310737859, 0310828575","FOOD FLAVOUR - E5, WHEAT FLOUR",
cane sugar,17011190,E1,5,2752407.730,0.00,"0310837138, 0310837955, 0310839650, 0310833996, 0310837961",SUGAR,
Emulsifier - Starches (as per PFA Act 1955),11081100,E1,5,633.070,0.00,"0310837955, 0310837960, 0310837961, 0310837958, 0310835231","EMULSIFIER - E1, STARCH 1108, STARCH 3505",
b) BOPP Granules (12 to 15 gsm),39202090,E5,5,11448.900,0.01,"0310837998, 0310838340, 0310838342, 0310838698, 0310834976","BOPP, PP",
c) Paper & Paper Board (100 to 300 GSM),48101990,E5,5,10051.340,0.01,"0310837998, 0310838342, 0310838340, 0310838698, 0310834976",PAPER BOARD,
relevant food flavour,29124100,E5,5,101615.670,0.00,"3010095933, 3010093121, 3010094750, 3010094072, 3010094879",FOOD FLAVOUR - E5,
relevant food colour,17029040,E5,5,304.270,0.00,"3010095934, 3010085529, 3010095675, 0311044439",FOOD COLOUR,
VEGETABLE SHORTENING :- PALM OIL,15119010,E5,5,135593.830,0.00,"0310828188, 0310829966, 0310828173, 0310828159, 0310834966","RBD PALMOLEIN OIL, VEGETABLE SHORTENING",
paper & paper board (100 to 300 gsm),48000000,E1,5,25376.150,0.00,"0310739587, 0310741899, 0310737512, 0310731837, 0310741903",PAPER BOARD,
fruit/cocoa - Nut Products,18050000,E5,5,100311.170,400.00,"3010085529, 0310690915, 0311005261, 0311005370, 0311013560",FRUIT/COCOA - E5,
pp granules,39021000,E5,5,223807.900,0.00,"0311004362, 0911008591, 0911008587, 0911008592, 5211013205",PP,
Relevant Essential Oils:- Orange Oil,33011200,E1,5,3975.720,0.00,"0311005034, 0311005481, 0311004986, 0311001739, 0311002880",ESSENTIAL OIL,
POLYPROPYLENE FILM GRADE,39021000,E5,5,92144.400,0.00,"0311005134, 0311009354, 3111004302, 0311036422, 0311045065",PP,
HDPE GRANULES (HDPE GRANULES),39012000,E5,5,21618.080,0.00,"5611000373, 5611000374, 5611000372, 0811003880, 0811004117",HDPE,
"ALLOY STEEL RODS /ROUNDS/BILLETS OF CARBON CONTENT LESS THAN 2 perecent HS CODE 7228,7229",72281090,C969,5,2390992.000,0.00,"3011000938, 3011000944, 3011001785, 3011001800, 3011002065",ALLOY STEEL,
Cold Rolled Steel (Sheets/ Wide Coils),72091690,C969,5,957817.790,0.00,"3011000957, 3011001172, 3011001785, 3011001800, 3011002065",COLD ROLLED STEEL,
SOYA LECITHIN,29232010,E5,5,39992.000,0.00,"0311009007, 3011006735, 3011006726, 3011006722, 3011006800",,
Relevant Flavours-Natural Flavours like Cardamoms (0908) Chilli (0709) Cloves (0907) Black Pepper (0904) Asafoetida(1301) Citric Acid (2918) Ginger (0910) Tartaric Acid(2918) Cinnamon(0906) Fennel(0909) Nutmeg (0908),09083110,E132,5,178479.810,0.00,"0511007564, 0511007465, 0311013325, 0511021164, 0511031038",FOOD FLAVOUR - E132,
RELEVANT FLAVOUR IMPROVERS :- FRUITS FLAVOUR (HS CODE 0802),08101000,E5,5,19770.560,0.00,"0311011367, 0311011837, 0311013896, 0311014196, 0311015783","FOOD FLAVOUR - E5, JUICE - E5",
Wheat Gluten Flour (ITC (HS) Code: 11010000),11010000,E5,5,1945920.140,4402039.14,"0311017841, 0311028892, 0311029920","WHEAT FLOUR, WHEAT GLUTEN",
PACKING MATERIAL :- b) Paper & Paper Board GSM (200 to 350),48101990,E1,5,37867.480,0.00,"0311018077, 0311018170, 0311018206, 0311018477, 0311021124","PAPER BOARD, PP",
PACKING MATERIAL : - C) ALUMINIUM FOIL,76071991,E1,5,7573.500,0.00,"0311018077, 0311018170, 0311018206, 0311018477, 0311021124","ALUMINIUM FOIL, PP",
Fruit Juice - Orange (HS Code 2009),20091100,E1,5,419549.620,0.00,"0311018478, 0311020672, 0311020706, 0311021083, 0311021124",FRUIT JUICE - E1,
"Dietary Fibre, of Wheat",23023000,E5,5,56381.710,0.00,"0311018582, 0311019450, 0311020607, 3010088740, 3010083908",DIETARY FIBRE,
Flavour improvers :- Fruits Flavours,20091100,E5,5,26170.300,0.00,"0311018591, 0311019364, 0311022005, 0311015048, 0311022667","FOOD FLAVOUR - E5, JUICE - E5",
Essential oils (Lemon Oil)(HS CODE 3301),33011300,E1,5,4150.790,0.00,"0311019966, 0311020006, 0311020007, 0311020005, 0311020085",ESSENTIAL OIL,
Paper Board (100 to 300 GSM) (HS CODE 4810),48101990,E1,5,140999.580,0.00,"0311019966, 0311020007, 0311020005, 0311020006, 0311020272",PAPER BOARD,
Packing Material :- b) Paper (50 to 150 GSM),48101990,E5,5,45706.780,0.00,"0311020008, 0311020673, 0311021413, 0311023411, 0311025287","PAPER & PAPER, PP",
Packing Material :- c) Paper Board (GSM 150 TO 300),48101990,E5,5,32796.930,0.00,"0311020008, 0311020673, 0311021413, 0311023411, 0311025287","PAPER BOARD, PP",
Essential Oil- Orange (HS CODE 3301),33011200,E1,5,6705.390,0.00,"0311020065, 0311021083, 0311021589, 0311032977, 0311032993",ESSENTIAL OIL,
"Food Flavour-Fruit and Nut Flavour (HS Code – 0802, 2009 & 0908)",08029900,E5,5,34804.320,0.00,"0311020881, 0311021906, 0311025545, 0311026206","FOOD FLAVOUR - E5, JUICE - E5",
Food Flavour / Fruit Flavours (HS Code 0802),08029900,E5,5,15967.200,0.00,"0311021587, 0311021840, 0311021413, 0311022812, 0311024754","FOOD FLAVOUR - E5, JUICE - E5",
Brake Assembly (Prime and ) (HS Code - 8708),87083000,C969,5,707.000,0.00,"3011003837, 3011003976, 3011005560, 3011005857",BRAKE ASSEMBLY,
PACKING MATERIAL :- PP,39021000,A3627,5,1238465.420,0.00,"5211005450, 5211005448, 5211005449, 5211005900, 5211005899",PP,
FRUIT - JUICE ORANGE (HS CODE 2009),20091900,E1,5,85013.400,0.00,"0311027042, 0311031105, 0311031511",FRUIT JUICE - E1,
"Chickpeas (HSN 07132090), lentils (HSN 0713), Cereal Flakes( HSN 1104), Green Peas (HSN  07131000)",11041200,E132,5,437954.710,1889690.26,"5211005814, 5211005930, 5211007993",CEREALS FLAKES,
"Natural Flavours like Citric Acid, Black Pepper (HSN 0904), Cardamom (HSN 0908), Asafoetida (HSN 1301), Cloves (HSN 0907), Nutmeg (HSN 0908), Tomato Paste (HSN 2103), Tomato Powder (HSN 0712), Cheese (HSN 0406)",09083110,E132,5,61597.090,0.00,"5211005814, 5211005930, 5211006127","CHEESE, FOOD FLAVOUR - E132",
Intermediates namely:-(a) Aluminium Oxide 28182000 (b) Zinc Oxide 28170000 (c) Zirconium Oxide 28256010,28256010,A3627,5,185397.610,0.00,"5211005899, 5211006440, 5211006441, 5211006445, 5211006702","ALUMINIUM OXIDE, ZINC OXIDE, ZIRCONIUM OXIDE",
Food Grade Flavours,09083110,E1,5,3633.150,0.00,"0311028488, 0311043133, 0311046540",FOOD FLAVOUR - E1,
FATS RBD PALMOLEIN OIL / EDIBLE VEGETABLE OIL,15119020,E5,5,260383.810,0.00,"0311029412, 0311031416, 0311044804, 0311045035, 0311045065",RBD PALMOLEIN OIL,
emulsifier,13023990,E5,5,3792.740,0.00,"5211006864, 5211006893",EMULSIFIER - E5,
hydraulic pump (including auxiliary hydraulic pump),,C969,5,0.000,0.00,"3011004758, 3011004872, 3011005327, 3011005328, 3011005443",HYDRAULIC PUMP,
Essential Oils (HS Code 3301) Edible Grade (Max Percentage of 5% Reflective index of 1% and above but not more than 2%,33011200,E1,5,17306.620,0.00,"0311035412, 0311035413, 0311035671, 0311035672, 0311035849",ESSENTIAL OIL,
liquid glucose,17024010,E1,5,1058775.180,0.00,"0311035619, 0311043117, 0311043118, 0311043071",LIQUID GLUCOSE,
Clutch Assembly (Including Split /Torque Type),87089300,C969,5,862.000,0.00,"3011005583, 3011005951, 3011006253, 3011006571, 3011007189",CLUTCH ASSEMBLY,
"Chickpeas (HSN 07132090), lentils (HSN 0713), Cereal Flakes(HSN 1104), Green Peas (HSN 07131000)",11041200,E132,5,513559.550,2130772.00,"5211009509, 5211009511, 5211009512",CEREALS FLAKES,
Fats - Edible Vegetable Oil (HS Code 15000000)/Palmolein Oil / Palm Kernel Oil / Cream (HSN  04015000)/Butter (HSN 04051000),15132110,E5,5,969915.360,0.00,"5211009853, 0311038011",PALM KERNEL OIL,
Essential Oils :- Orange (HS Code 3301),33011200,E1,5,13826.210,0.00,"5211010642, 5211010775, 0311021468",ESSENTIAL OIL,
Leaving Agent: - Yeast,21021020,E5,5,14800.080,0.00,"0311038755, 0311039216, 0311044534, 0311044533, 0311044676",LEAVENING AGENT,
Starch-Edible Starch (Code-1108),11081200,E5,5,18500.090,0.00,"0311038755, 0311039216, 0311044534, 0311044533, 0311044676",STARCH 1108,
Essential oils-(HS Code:-3301) Edible Grade (Max Percentage of 5% Reflective index of 1% and  above but not more than 2%),33011200,E1,5,7095.290,0.00,"0311038939, 0311038938",ESSENTIAL OIL,
Paper & paper Board / PP / Aluminum Foil (HS Code 7607),39021000,E1,5,101487.640,0.00,"0311038939, 0311038963, 0311038938","ALUMINIUM FOIL, PAPER BOARD, PP",
food Flavours - Natural Flavour (Edible Grade),09083110,E1,5,1932.370,0.00,"0311039059, 0311046641",FOOD FLAVOUR - E1,
iii) RELEVANT FOOD FLAVOURS (ORANGE),33021010,E1,5,1083.840,0.00,"0310839542, 0310838697, 0310838966, 0310839541, 0310839139",FOOD FLAVOUR - E1,
"Other Confectionery Ingredients - edible molasses, malt extracts, edible oils & fats, fruits & fruits products, nut & nut products, tea extracts, coffee extracts, edible desiccated coconut (Palmolein Oil). The CIF VALUE OF INPUT ITEM SHALL NOT EXCEED 2% O",08023100,E1,5,67530.270,0.00,"0310838322, 0310839062, 0310838326, 0310838758, 0310839116",OTHER CONFECTIONERY INGREDIENTS - E1,
Paper Board (150 GSM to 300 GSM),48101990,E1,5,28614.350,0.00,"0310839542, 0310839541, 0310838966, 0310838697, 0310839139",PAPER BOARD,
Relevant food grade :- Tartaric acid subject to actual user condition.,29181200,E1,5,115596.120,21000.00,"0310838697, 0310838966, 0310839139, 0310835516, 0310833701",CITRIC ACID / TARTARIC ACID - E1,
Binders / Thickners /Starch / Xanthan Gum,13023990,E1,5,882.360,0.00,0311040024,STARCH 3505,
Enulsifier /Stabilizer/Glazing Agent/ Binders / Thickners-Starch (Item as per PFA Act 1955) Xanthan  Gum,39139090,E1,5,538.010,0.00,"0311040045, 0311042064, 0311042370, 0311046484",STARCH 3505,
"Chickpeas (0713), lentils (0713), Green Peas (0713), Cereal Flakes (1904, 1104)",11041200,E132,5,1757698.860,7401589.57,"0511031038, 0511031033, 5011002075, 5011002081, 5011002080",CEREALS FLAKES,
Binders /Thickners / Starch / Xanthan Gum / Stabiliser (HS Code 3912),39123919,E1,5,934.110,0.00,0311042453,STARCH 3505,
Essential Oils:- Orange Oil (HS Code-3301,33011200,E1,5,2724.280,0.00,"0311042486, 0311023276",ESSENTIAL OIL,
Essential Oils (HS Code3301),33011200,E1,5,17384.340,0.00,"0311043117, 0311043118, 0311045116",ESSENTIAL OIL,
"Relevant fats and Oils namely sesame oil / Mustard Oil/ Salad Oil - Olive Oil (HSN 1509, 1510)/ Groundnut Oil / RBD palmolein Oil / Palm based Oi / Sunflower oil / Edible Vegetable Oil ( HSN 15000000)",15119020,E126,5,1710556.520,7215889.29,"0311043456, 3411006384, 3411006383, 3411006382, 3411006427",RBD PALMOLEIN OIL,
Milk & Milk Products / Milk Solids (HSN Code 3502 / 0406),35022000,E5,5,141043.710,0.00,"3411006370, 0311044507",CHEESE,
Packing Material -Polypropylene Film Grade,39021000,E1,5,29838.380,0.00,"0311044722, 0311046120, 0311046484",PP,
Packing Material - Paper and Paper board /PP / Aluminium Foil (HS Code 7607),76071994,E1,5,64097.650,0.00,"0311045122, 0311046641","ALUMINIUM FOIL, PAPER BOARD",
Food Colour:- Sunset Yellow,32041981,E1,5,172.300,0.00,"0311045598, 0311045599, 0311045614, 0311046233",FOOD COLOUR,
Packing material :- PP/Aluminium Foil ( HS Code 7607),39021000,E1,5,209603.880,0.00,"0311045598, 0311045614, 0311046233","ALUMINIUM FOIL, PP",
Packing Material - PP / Aluminium Foil (HS Code 7607),39021000,E5,5,120556.720,0.00,"0311046036, 0311046481, 0311046489","ALUMINIUM FOIL, PP",
Fats - Edible Vegetable Oil (HS Code 15000000)/Hydrogenated Vegetable Fat (15162091)/Palmolein Oil / Palm Kernel Oil (HSN CODE 15132910) / Cream (HSN 04015000)/Butter (HSN 04051000),15119020,E5,5,1018559.450,0.00,"5211015438, 3411006954","PALM KERNEL OIL, RBD PALMOLEIN OIL",
Flavouring Material (HS CODE 2106)/Fruit Juice(HS Code 2009)/Fruit & Nuts Product (HSN 0802),20098990,E5,5,102924.790,0.00,"5211015438, 3411006954",JUICE - E5,
(a) Clay 25080000 (b) Selenium 28049000 (c) Nucleating Agents (Titanium Dioxide other than Rutile Grade) 32061110 (d) Barium carbonate 28366000,32061110,A3627,5,1165722.770,0.00,"5211016017, 5211016345, 5211016747, 5211016984, 5211016983",TITANIUM DIOXIDE,
PAPER AND PAPER BOARD (GSM 200+-10%),48000000,E5,4,39710.600,0.00,"0310525017, 0310514838, 0310520657, 0310529615",PAPER BOARD,
Relevant Food Additives- Cardamom/ Black Pepper for pickles and Chutneys FDA approved,09083110,E126,4,83393.640,0.00,"0910043874, 0310839564, 0311007028, 0910039213",FOOD ADDITIVES - E126,
Liquid Glucose / Fruit Concentrate maximum limit should be 15 Kgs,17023010,E1,4,285984.380,0.00,"0310646062, 0310650508, 0310650527, 0310668515","FRUIT JUICE - E1, LIQUID GLUCOSE",
Essential Oils (Food Grade),33012000,E1,4,5934.800,0.00,"0310650527, 0310650508, 0310668515, 0310672125",ESSENTIAL OIL,
"PP/HDPE/LDPE/LLDPE GRANULES, SUITABLE FOR MAKING PLASTIC WOVEN FABRICS FOR PACKING COTTON BALES",39000000,J373,4,3667.200,0.00,"0310651520, 0310654733, 0310651968, 0310659841","HDPE, LDPE",
oil seals (other than engine) NET TO NET,40169321,C969,4,12373.000,31941.06,"3010079436, 3010082070, 3010085169, 3010082935","OIL SEAL, OIL SEALS",
ii) RELEVANT FOOD COLOUR,21000000,E1,4,106.500,0.00,"0310697462, 0310741319, 0310720614, 0310757968",FOOD COLOUR,
Relevant (Food Flavour / Flavouring agent / Flavour improvers),33000000,E5,4,28704.000,0.00,"0310727816, 0310732431, 0310743303, 0310742587",FOOD FLAVOUR - E5,
fruit / coco powder,18000000,E5,4,16146.000,0.00,"0310727816, 0310732431, 0310743303, 0310742587",FRUIT/COCOA - E5,
dietary fibre,04000000,E5,4,53820.000,0.00,"0310727816, 0310732431, 0310743303, 0310742587",DIETARY FIBRE,
Polypropylene (Moulding Grade),39021000,E126,4,11488.510,0.00,"0910049713, 0910051046, 0910052081, 0910051294",PP,
Packing Materials as per General Policy for Packing Material/  Paper & Paper Board (GSM 150 to 300) (HDPE/LDPE/PP),48100000,E126,4,115145.460,0.00,"0310734335, 0310734334, 0310738370, 0310728028","HDPE, LDPE, PAPER BOARD, PP",
ii) relevant food colour,32030000,E1,4,906.100,0.00,"0310742675, 0910061510, 0310825251, 0310825235",FOOD COLOUR,
Packing Materials as per General Policy for Packing Material / Packing Material (Paper & Paper Board GSM 150 TO 350 ) (LDPE/HDPE/PP),48100000,E126,4,113617.600,0.00,"0310702750, 0310695860, 0310716678, 0310723146","HDPE, LDPE, PAPER BOARD, PP",
OTHER SPECIAL ADDITIVES NAMELY (A) CLAY (B) SELENIUM (C) NUCLEATING AGENTS ( TITANIUM DIOXIDE) (D) BARIUM CARBONATE,25309000,A3627,4,685326.040,0.00,"0310713242, 0310722400, 0310713244, 0310713240",TITANIUM DIOXIDE,
COCOA POWDER,18050000,E1,4,132090.600,0.00,"0910061510, 0310817639, 0310829977, 0310833996",FRUIT/COCOA - E1,
ii) EMULSIFIER / STABILIZING AGENT,29157030,E5,4,8269.390,0.00,"0910052275, 0910054277, 0910054101, 0910052936",EMULSIFIER - E5,
(VI)ANTI OXIDENT,38123000,E5,4,357.880,0.00,"0910054101, 0910054277, 5610000026, 5610000025",ANTI OXIDANT,
vii) Fruit / Coco Powder,18050000,E5,4,63448.340,130089.00,"0910052275, 0910054277, 0910054101, 5610000025",FRUIT/COCOA - E5,
milk & milk products,35020000,E5,4,1846713.630,4600001.00,"0910052935, 0310739944, 0310705160, 0310835340",,
starch,35000000,E5,4,164901.930,0.00,"0310776850, 0310776851, 0310740883, 0310776854",STARCH 3505,
liquid glucose,17000000,E5,4,2719148.920,0.00,"0310776850, 0310776851, 0310682293, 0310776854",LIQUID GLUCOSE,
EMULSIFIER /STABILIZER/GLAZING AGENT/BINDERS/THICKENERS (ITEMS AS PER PFA ACT 1955),04000000,E5,4,13595.740,0.00,"0310776850, 0310776851, 0310682293, 0310776854",EMULSIFIER - E5,
"Sanitation and cleaning chemicals (organic and inorganic acids and Alkali, Surfactant Biocides such as Hydrogen Peroxide , Soda ash, Disinfectants)",29000000,E126,4,36214.350,0.00,"0310813295, 0310814061, 0310813772, 0310814719","SANITATION AND CLEANING CHEMICALS - E126, SODA ASH",
PP/LDPE/HDPE As per packing policy,39000000,E126,4,381022.250,0.00,"0310813295, 0310813772, 0310814061, 0310816666","HDPE, LDPE",
Paper and Paper Board (GSM 50 TO 350) As per packing policy,48000000,E126,4,291477.500,0.00,"0310813295, 0310813772, 0310814061, 0310816666",PAPER BOARD,
PACKING MATERIAL :-PAPER & PAPPER BOARD (GSM 150 TO 350)(LDPE/HDPE/PP),48000000,E1,4,105577.150,0.00,"0310729488, 0310732839, 0310683006, 0310702191","HDPE, LDPE, PAPER BOARD, PP",
a) Relevant Fruit (Juice/Pulp/Puree),20000000,E1,4,213186.300,275139.06,"0310681169, 0310681614, 0310683006, 0310681423",FRUIT JUICE - E1,
Relevant Food Colour Tartrazine (32041982)/ Sunset Yellow (32041212)/ Caramel (17029040),32041982,E5,4,236.360,0.00,"0910055750, 0910055749, 0910055812, 0910055754",FOOD COLOUR,
Milk & Milk Products Skimmed Milk Powder (04021010)/ Milk Solids (04041020)/ Whey Powder / Whey Proteins (04041020/35020000)/ Condensed Milk (04029920)/Cheese(04060000)/Butter (40510000),04060000,E5,4,380917.760,0.00,"0910055812, 0910060902, 0910056126, 0910056125","CHEESE, SWP",
Milk & Milk Products Skimmed Milk Powder (04021010)/ Milk Solids (04041020)/Whey Powder/Whey proteins(04041020/35020000)/Condensed Milk (04029920)/Cheese (04060000)/Butter(04051000),04060000,E5,4,112389.860,0.00,"0910055749, 0910055750, 0910055754, 0910055753","CHEESE, SWP",
"cocoa, milk & milk products",18050000,E1,4,121091.060,0.00,"0310736181, 0310736639, 0310737004, 0310734181","FRUIT/COCOA - E1, WPC - E1",
EMULSIFIER /STABILIZER/GLAZING AGENT/BINDERS/THICKENERS (ITEMS AS PER PFA ACT 1955),40000000,E1,4,14214.050,0.00,"0310766935, 0310825596, 0310717723, 0310833304",EMULSIFIER - E1,
Biscuit additives & ingredients i) Leavening Agent  /  Dough Conditioner,19053219,E5,4,5115.830,0.00,"0310714016, 0310713518, 5610000026, 5610000025",LEAVENING AGENT,
iii) Relevant (Food Flavour / Flavouring Agent / Flavur Improvers),32000000,E5,4,20463.340,0.00,"0310714016, 0310713518, 5610000025, 5610000026",FOOD FLAVOUR - E5,
leaving agent/ dough conditioner,29000000,E5,4,2673.070,1011.63,"0310737945, 0310736838, 0310763644, 0310828575",LEAVENING AGENT,
Relevant Fats & oils namely sesame oil/ Mustard Oil/ Gingelly oil/Salad oil/Ground-nut oil/Palm oil/Sunflower oil,15111000,E126,4,565487.910,0.00,"0310735431, 0310735397, 0310734488, 0310734495",,
"Packing Material as per General policy for packing materials :- HDPE/LDPE/PP , Paper & Paper Board (150-300 GSM)",48100000,E126,4,468022.130,0.00,"0310735431, 0310734495, 0310735397, 0310734488","HDPE, LDPE, PAPER BOARD, PP",
Packing Material for condiment Paste as per General Policy for Packing Materials:-,48100000,E126,4,53024.940,0.00,"0310735431, 0310734495, 0310735397, 0310734488",PP,
Paper & Paper Board (150-300 GSM),48100000,E126,4,53865.980,0.00,"0310735431, 0310734495, 0310734488, 0310735397",PAPER BOARD,
"other confectionery ingredients -- edible molasses, malt extracts, edible oils and fats, fruits and fruit products, nut and nut products, tea extracts, coffee extracts, edible desiccate coconut",09083190,E1,4,37750.610,283130.00,"0310739005, 0310782452, 0310791395, 0310793650",OTHER CONFECTIONERY INGREDIENTS - E1,
Sugar (Cane Sugar),17000000,E5,4,278734.130,0.00,"0310649566, 0310651203, 0310663738, 0310663741",SUGAR,
(IV)STARCH (WHEAT),11081100,E5,4,5930.110,1.00,"0310823762, 0310826316, 0310831147, 0310831149","STARCH 1108, STARCH 3505",
(5) Milk & Milk Products (Skim Milk Powder),04041020,E5,4,83021.420,86319.00,"0310823762, 0310826316, 0310831149, 0310831147",SWP,
i) Relevant Essential Oils,32030000,E1,4,43095.640,13311.71,"0310824203, 0310824205, 0310825251, 0310825235",ESSENTIAL OIL,
